condition,layer,token_slot,mean_logprob,std_logprob,mean_prob,std_prob,count
caption,0,A_content,-11.422215175628661,1.2117153542421464,2.0156876027122318e-05,2.324632015412254e-05,100
caption,0,B_content,-11.477193937301635,1.2120342745702803,1.9165630801264735e-05,2.24228446992659e-05,100
caption,0,none,-11.403461103439332,1.1883847314012004,2.0046463006557686e-05,2.2283412719375176e-05,100
caption,0,user,-11.675714683532714,1.3444499104513046,1.7967058837900192e-05,2.3238723105192372e-05,100
caption,0,user_text,-11.582485179901123,1.3082906997585086,1.9116739081543763e-05,2.555720989761529e-05,100
caption,0,vision,-11.439590406417846,1.207946749869919,1.9786588655888055e-05,2.233374848127554e-05,100
caption,0,vision_half1,-11.414345226287843,1.1889771877033621,1.9888813818971898e-05,2.206056973850262e-05,100
caption,0,vision_half2,-11.39812614440918,1.1898848487416294,2.018387740724105e-05,2.2432812408568872e-05,100
caption,1,A_content,-10.900120048522949,1.0681605582526204,3.071369110521569e-05,3.5675264988068936e-05,100
caption,1,B_content,-10.995025491714477,1.0664349113673004,2.78836049000021e-05,3.1656511797973925e-05,100
caption,1,none,-10.874231100082397,1.0655225759317655,3.110658905473217e-05,3.4188413882377886e-05,100
caption,1,user,-11.304391746520997,1.1331221292105478,2.1444713771362517e-05,2.3418672411043958e-05,100
caption,1,user_text,-11.199230680465698,1.1243101855190765,2.4226496632050203e-05,2.9904451714285243e-05,100
caption,1,vision,-10.959113092422486,1.0687764146969883,2.8279083821006252e-05,2.896683298943366e-05,100
caption,1,vision_half1,-10.884764404296876,1.0627128604740828,3.0685024025845775e-05,3.3260051193821883e-05,100
caption,1,vision_half2,-10.870962295532227,1.0678426588273306,3.116132963507478e-05,3.379048241928811e-05,100
caption,2,A_content,-11.570954790115357,0.9124949293398421,1.3818395280796104e-05,1.2776169628483446e-05,100
caption,2,B_content,-11.66933599472046,0.9101573838682396,1.2500527595966988e-05,1.158828605957471e-05,100
caption,2,none,-11.5387371635437,0.9145991715026304,1.414433124687896e-05,1.2469421556340805e-05,100
caption,2,user,-11.845470209121704,1.071633226486009,1.2157032257648888e-05,1.3422885604100483e-05,100
caption,2,user_text,-11.843115787506104,1.0243875868145664,1.2068869350935161e-05,1.522092635272848e-05,100
caption,2,vision,-11.507148838043213,0.9354606794615156,1.4737969687507496e-05,1.2696222000487868e-05,100
caption,2,vision_half1,-11.545986423492431,0.9125951378241646,1.3980748131881318e-05,1.203944203617858e-05,100
