condition,layer,token_slot,mean_logprob,std_logprob,mean_prob,std_prob,count
caption,0,A_content,-10.792652597427368,0.7334553013747442,2.55740750916564e-05,1.5637418164403782e-05,100
caption,0,B_content,-10.981103382110597,0.7665383091582721,2.1519482641886918e-05,1.3420053622585496e-05,100
caption,0,none,-10.764014873504639,0.7341437450726426,2.6299967878644415e-05,1.5950224534190826e-05,100
caption,0,user,-10.88623797416687,0.7579638749545359,2.3624608992990808e-05,1.4972124763264713e-05,100
caption,0,user_text,-11.092520093917846,0.7803689421058848,1.937473758153981e-05,1.2324653180702748e-05,100
caption,0,vision,-10.664627180099487,0.729461978330092,2.8998734583876182e-05,1.7611463633519503e-05,100
caption,0,vision_half1,-10.711172590255737,0.7327350155958086,2.770294674906059e-05,1.6785758135681284e-05,100
caption,0,vision_half2,-10.71488540649414,0.7335850658139474,2.762398250218214e-05,1.6789121272072738e-05,100
caption,1,A_content,-10.189485244750976,0.7869523402092113,4.8275989460664804e-05,3.242764718215161e-05,100
caption,1,B_content,-10.34965163230896,0.806123486626909,4.1580996282398104e-05,2.8452131435235787e-05,100
caption,1,none,-10.1159024143219,0.7945360929820577,5.206367342127175e-05,3.462617247148851e-05,100
caption,1,user,-10.44871021270752,0.7837324899046184,3.743241018035091e-05,2.6418781813502677e-05,100
caption,1,user_text,-10.603110494613647,0.8017855310738338,3.2232039603827934e-05,2.2389246144088075e-05,100
caption,1,vision,-9.989159488677979,0.7963990852848633,5.924318206725536e-05,3.978208473516709e-05,100
caption,1,vision_half1,-10.053524799346924,0.792759716824701,5.536885887358767e-05,3.6834056238209964e-05,100
caption,1,vision_half2,-10.06469524383545,0.7920505068927202,5.4792760225773175e-05,3.6587670003739264e-05,100
caption,2,A_content,-10.58524697303772,0.8408875167721405,3.337780236538701e-05,2.308113296424778e-05,100
caption,2,B_content,-10.700403575897218,0.8532170054092433,3.011155813921797e-05,2.1751576345900908e-05,100
caption,2,none,-10.54889760017395,0.8331266984017854,3.454948405938347e-05,2.4051352541182195e-05,100
caption,2,user,-10.697519121170044,0.8620602532027495,3.0205958279475214e-05,2.149478916556485e-05,100
caption,2,user_text,-10.948512353897094,0.8769865558089297,2.371398239636905e-05,1.723709639596431e-05,100
caption,2,vision,-10.347310190200806,0.8354564105494073,4.230653697858532e-05,2.9345299216701784e-05,100
