condition,layer,token_slot,mean_logprob,std_logprob,mean_prob,std_prob,count
caption,0,A_content,-13.140650115013123,0.6837456665910565,2.4828118338186245e-06,1.9793661801080494e-06,200
caption,0,B_content,-13.171329727172852,0.6867106995106135,2.410871904281606e-06,1.9183272738006724e-06,200
caption,0,none,-13.105743594169617,0.6869158184499933,2.5789253754407564e-06,2.0823983507051104e-06,200
caption,0,user,-13.251228976249696,0.6901283300605029,2.227071951594478e-06,1.7543913411299922e-06,200
caption,0,user_text,-13.383411822319031,0.6798361910813943,1.9346518706612837e-06,1.4624063012943465e-06,200
caption,0,vision,-13.037386870384216,0.6912597771566795,2.7732084748509056e-06,2.2824352133416563e-06,200
caption,0,vision_half1,-13.068691539764405,0.6875715851553321,2.67875306462205e-06,2.1808167895280223e-06,200
caption,0,vision_half2,-13.075501203536987,0.687892662637784,2.6616130753484805e-06,2.1613825194160405e-06,200
caption,1,A_content,-13.041886434555053,0.6799106597666053,2.7248224814039024e-06,2.0009884122116234e-06,200
caption,1,B_content,-13.097182421684264,0.6828236211586703,2.58095497788592e-06,1.89169055258902e-06,200
caption,1,none,-13.027766766548156,0.6846947307275246,2.77055138556168e-06,2.0453662454938183e-06,200
caption,1,user,-13.217794351577759,0.6828281593566556,2.2923720178020245e-06,1.6954425033775787e-06,200
caption,1,user_text,-13.261837053298951,0.6721623899975241,2.1726187287402762e-06,1.5428371104405605e-06,200
caption,1,vision,-12.99654040813446,0.6944843503617608,2.880089631033728e-06,2.1907397678289886e-06,200
caption,1,vision_half1,-12.988889327049256,0.6886046348857988,2.890356568088772e-06,2.16613415907192e-06,200
caption,1,vision_half2,-12.999897756576537,0.6876521541714592,2.8577642875021924e-06,2.1415180557931423e-06,200
caption,2,A_content,-13.514612827301026,0.6787058243157933,1.6687035535458654e-06,1.0969265709612378e-06,200
caption,2,B_content,-13.574892539978027,0.6700849661130334,1.5673005074661327e-06,1.0365776610267168e-06,200
caption,2,none,-13.481377339363098,0.6656566985471374,1.711924765477257e-06,1.1086432088014633e-06,200
caption,2,user,-13.822650237083435,0.6752916305985426,1.22413612496501e-06,7.938725311040022e-07,200
caption,2,user_text,-13.848881964683533,0.6576370977100077,1.179548785090502e-06,7.374467040243738e-07,200
caption,2,vision,-13.423564186096192,0.6832265665526457,1.832909471933258e-06,1.2420211417930256e-06,200
caption,2,vision_half1,-13.450125155448914,0.6713346140013823,1.7720722532558463e-06,1.161930533541661e-06,200
caption,2,vision_half2,-13.462789468765259,0.6683106286461565,1.7472766151208112e-06,1.1448329768074896e-06,200
caption,3,A_content,-14.376000294685364,0.6661977987521991,6.986494947397662e-07,4.433309429356944e-07,200
caption,3,B_content,-14.54239661693573,0.6664784868363062,5.930503157529262e-07,3.819277068970028e-07,200
caption,3,none,-14.472876267433167,0.6590085496556797,6.304794252106263e-07,3.918657060118913e-07,200
caption,3,user,-14.593130855560302,0.6358376692642708,5.539863861765136e-07,3.3939314095706563e-07,200
caption,3,user_text,-14.623027868270874,0.6477862638630351,5.392935155905142e-07,3.221924420481524e-07,200
caption,3,vision,-14.405806641578675,0.6642865516411514,6.786779608954642e-07,4.450178175169488e-07,200
caption,3,vision_half1,-14.445931077003479,0.6591426325424037,6.48449365567968e-07,4.08554100845386e-07,200
caption,3,vision_half2,-14.4679665184021,0.6584908275886575,6.334563525083958e-07,3.9425852920146964e-07,200
caption,4,A_content,-14.624667105674744,0.6643356345468652,5.477443766036774e-07,3.701037247199166e-07,200
caption,4,B_content,-14.93708682537079,0.6699626089487889,4.0568566546363616e-07,3.0068242467706427e-07,200
caption,4,none,-14.805176610946654,0.672288858491296,4.602788460258551e-07,3.2265672878111117e-07,200
caption,4,user,-14.952485389709473,0.6278047251848617,3.9003464561753357e-07,2.710813717464236e-07,200
caption,4,user_text,-15.014919810295105,0.6485232735179111,3.6922061978488846e-07,2.5550496320856623e-07,200
