condition,layer,token_slot,mean_logprob,std_logprob,mean_prob,std_prob,count
caption,0,A_content,-13.013248715400696,0.6653598999588074,2.83982123119495e-06,2.7945008455913286e-06,200
caption,0,B_content,-13.057199773788453,0.6569356533959416,2.69959663179295e-06,2.529953843877289e-06,200
caption,0,none,-12.987322211265564,0.6593202156489842,2.90493844207732e-06,2.793244211266515e-06,200
caption,0,user,-13.136394128799438,0.6850311352043718,2.5138618586875033e-06,2.3422304771648196e-06,200
caption,0,user_text,-13.240029497146606,0.6925289756509355,2.2852681301402426e-06,2.2050248610850416e-06,200
caption,0,vision,-12.92620575428009,0.6517071617580256,3.07238417339375e-06,2.926181559656924e-06,200
caption,0,vision_half1,-12.95337411403656,0.6577793628238379,3.003849533240829e-06,2.8905840898329803e-06,200
caption,0,vision_half2,-12.958135471343994,0.657510747636099,2.986222121246748e-06,2.8466677813160827e-06,200
caption,1,A_content,-12.955767765045167,0.6829283179297992,3.0615235574559426e-06,2.942197014285551e-06,200
caption,1,B_content,-13.024059553146362,0.6766469973838896,2.8517410350164393e-06,2.7297735015456912e-06,200
caption,1,none,-12.940808510780334,0.6839918229606765,3.117082518842572e-06,3.0002047020195957e-06,200
caption,1,user,-13.149086675643922,0.6692648571224207,2.49142578168046e-06,2.4419143313978504e-06,200
caption,1,user_text,-13.185044479370116,0.6848651495890349,2.441171341538806e-06,2.5380096212063505e-06,200
caption,1,vision,-12.909231472015382,0.6736186791621741,3.1822853854615684e-06,2.936504197445718e-06,200
caption,1,vision_half1,-12.904567914009094,0.6802118038306736,3.222962518857375e-06,3.0691433745320663e-06,200
caption,1,vision_half2,-12.913093972206116,0.6813080193025359,3.197050590143359e-06,3.0462233994167114e-06,200
caption,2,A_content,-13.591121530532837,0.6415379157580727,1.5504708741214296e-06,1.218953813973721e-06,200
caption,2,B_content,-13.66567416191101,0.6317179518917845,1.4323051557163724e-06,1.1228911286879086e-06,200
caption,2,none,-13.546428956985473,0.6356847146523087,1.6214515496726923e-06,1.3005574631626613e-06,200
caption,2,user,-13.887345199584962,0.6703945052024873,1.1716008731606845e-06,9.54778310793603e-07,200
